Year,Title,Author,Experiment,Participant Language,Experiment Language,Research Question,Methodology,Task,Main Findings,Lexical Access or Segmentation,Stimuli List Given
1990, Attentional allocation during speech perception: How fine is the focus?,"Pitt, M. A., & Samuel, A. G. (1990)",2,English,English,Can attention be focused on a subsyllabic unit? What are the perceptual consequences of this fine tuning? Can the results of experiment 1 be replicated with pseudowords?,Monitoring,"Selective Attention Phoneme Monitoring with nonwords where training phase indirectly biased participants for expected locations (c1, c2, c3 or c4) in CVC.CVC words, which was different between subject groups. 50% of the trials contained no target match. 180 of 240 trials with target matches had the target in expected location (20 experimental targets and 160 filler targets). A control group was included with no bias in expeceted condition.","1. Selective attention can be given to phoneme.
2. RTs facilitated in expected location, but came with costs in unexpected location.
3. 3 of the 4 postions had similar cost-benefits with error rates (Position 3 was the exception). This could mean that subjects in Experiment 1 may have used lexical constraints to improve monitoring performance.
4. Attention is easier to allocate at word edges than word-medial positions.
5. More likely that phonemic code is employed first, then upon failure the lexical code kicks in. Lexical effects not expected in 4th position because nothing violates the allocational expectancies.",,Yes
1990, Attentional allocation during speech perception: How fine is the focus?,"Pitt, M. A., & Samuel, A. G. (1990)",3,English,English,Can attention be tuned as finely when experimental design makes selective focus more difficult?,Monitoring,"Selective attention phoneme monitoring that essentially replicates experiment 1 with two modifications: using clusters where targets were to be found AND force more lexical code decisions by asking if target word was a noun.
Syllables were all CCV or CCVC with only two expected locations (C1, C2).","1. The initial phoneme of the cluster facilitated RTs regardless of biasing in selective attention paradigm.
2. Error data lower in initial phoneme of cluster as well.
3. Suggest that more faciliation occurs at word edges than medial portions of words.
4. Combined experiments show that attention relatively consistent up to the expected location and then quickly diminished following the expected location. (not conclusive)
5. No conclusive evidence on how onset clusters are analyzed",,Yes
1992, The monolingual nature of speech segmentation by bilinguals,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1992)",1,French–English simulatenous bilinguals,French,Is it possible for simultaneous French-English bilinguals to process speech in both languages like that of monolingual speakers of each language?,Monitoring,Syllable Monitoring using same French material from Mehler et al. (1981):Experiment 1.,"1. No main effects for French words.
2. No interaction for FR-EN bilinguals.
3. FR dominant (As classified by brain surgery question) patterns like French monolinguals in French experiment and English monolinguals in English experiment.",,No
1992, The monolingual nature of speech segmentation by bilinguals,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1992)",2,French–English simulatenous bilinguals,English,Is it possible for simultaneous French-English bilinguals to process speech in both languages like that of monolingual speakers of each language?,Monitoring,Syllable monitoring with CV and CVC targets using same English material from Cutler et al. (1986): Experiment 1. NOTE: The same participants completed experiment 1 the current study in French also.,"1. CV[C] words responded to faster than CVC words.
2. CVC targets responded to faster than CV targets.
3. EN dominant (As classified by brain surgery question) patterns like English monolinguals with both French and English experiments.",,No
1992, The monolingual nature of speech segmentation by bilinguals,"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1992)",3,French–English simulatenous bilinguals,English,Is there evidence of stress-based segmentation—a restricted segmentation procedure?,Word Spotting,"Using same material from Cutler and Norris (1988): Experiment 3, they retested 5 FR-dom and 1 EN-dom bilingual from Experiments 1and 2 of the current study. They additionally tested new participants—9 EN-dom and 4 FR-dom.","1. English dominant group patterns like English monolinguals, evidence of stress-based segmentation.
2. French dominant group does not pattern like English monolinguals, evidence that they do not have access to stress-based segmentation procedure.
3. Additional support for stress-based segmentation comes from harder detection of word when second syllable is strong for English dominant group, but not French dominant group.
4. No sign of syllabic segmentation by either group suggesting that French dominant listeners can indeed switch this process off when necessary.",,No
1992, Contrasting syllabic effects in Catalan and Spanish,"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)",1,Catalan,Catalan,Are Cutler English-French results aretfactual due to uncontrollable differences between the two languages?,Monitoring,"Syllable monitoring with two conditions: Intial syllable structure (CV vs CVC) and Intial syllable stress (Stressed vs Unstressed). Vowels controlled because they do not reduce /i, u/.","1. When initial syllable is unstressed, the crossover effect is obtained for target–carrier item match of syllable structure. This is does not occur when initial syllable is stressed.
2. Suggests that Catalan speakers segment based on syllabic representations, but not in all cases.",,No
1992, Contrasting syllabic effects in Catalan and Spanish,"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)",2,Spanish,Spanish,Are Cutler English-French results aretfactual due to uncontrollable differences between the two languages?,Monitoring,Syllable monitoring with two conditions: Intial syllable structure (CV vs CVC) and Intial syllable stress (Stressed vs Unstressed). Vowels controlled to /a/ because it made it more comparable to Mehler (1981) results.,"1. No interactions significant in either stressed or unstressed initial syllables. (Evidence against Cutler et al. (1986) with regards to clear syllable boundary)
2. CV words were responded to faster regardless of the target structure CV or CVC.
3. CV targets were found quick than CVC targets.
4. Words with initial stress were responded to faster than words withou initial stress.",,No
1992, Contrasting syllabic effects in Catalan and Spanish,"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)",3,Spanish,Spanish,No foils present in current study. Did this lead to the much shorter RTs as compared to Sánchez-Casas (1988) who did find syllabic effects in Spanish?,Monitoring,Procedure was exactly same as experiment 2 with different participants from the same population. However a semantic relation element was added to try and increase RT following the method used in Dupoux (1989).,"1. RTs increased by an average of 250 ms.
2. No crossover effect, but syllabic effect emerged in both stressed and unstressed initial syllable enviornments.
3. Stressed words were not responded to faster than unstressed words as in experiment 2.
4. If subjects of Spanish are asked to respond very quickly, the syllabic effect may be masked.
5. Stress does play a role in speech segmentation.
6. Stress may play a minor role in syllabification effects.",,No
1993, The status of the syllable in the perception of Spanish and English,"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",1,Spanish,Spanish,Do Spanish listeners segment syllabically in Spanish?,Monitoring,Syllable monitoring for CV and CVC targets in Spanish,"1. When target and initial syllable of carrier word matched, RTs were faster (Crossover interaction).
2. No tendency to respond faster to CV targets than to CVC targets.",,Yes
1993, The status of the syllable in the perception of Spanish and English,"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",2,English,English,Do English listeners segment syllabically in English?,Monitoring,Syllable monitoring for CV and CVC targets in English,"1. No Crossover effect.
2. Did not replicate Cutler et al. (1986) finding of faster responses to CVC(V) words than CVC(C). This was not due to target presentation (visual or auditory).
3. CVC targets found faster than CV targets.",,Yes
1993, The status of the syllable in the perception of Spanish and English,"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",3,English,Spanish,Is ambisyllabicity the reason for experiment 2 results?,Monitoring,Syllable monitoring for CV and CVC targets in Spanish,"1. Experiment 2 findings replicated and confirmed.
2. CVC targets found faster than CV targets again.",,Yes
1993, The status of the syllable in the perception of Spanish and English,"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",4,Spanish,English,Do Spanish listeners segment syllabically in English?,Monitoring,Syllable monitoring for CV and CVC targets in English,"1. No syllabic effects found. (Spanish listeners did not act like French listeners when monitoring in English (Cutler et al. (1986)).
2. Spanish listeners seem unable to apply native segmentation strategy to foreign language.
3. No advantage for CVC targets over CV targets.",,Yes
1993, The status of the syllable in the perception of Spanish and English,"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)",5,Spanish-English Bilinguals,Spanish,Do Spanish-English bilingual listeners segment syllabically in Spanish?,Monitoring,Syllable monitoring for CV and CVC targets in Spanish,"1. No syllabic effects found.
2. No difference in RTs according to target structure CV or CVC.
3. CV carriers had faster RTs than CVC carriers. (Cutler et al. (1986) found similar results for English speaker with English materials).
4. If exposure to foreign language causes abandoment of childhood segmentation strategies, it occurs in less than 3 years of residency in the foreign language context.",,Yes
1993, Mora or Syllable? Speech Segmentation in Japanese,"Otake, T., Hatano, G., Cutler, A., & Mehler, J. (1993)",1,,,,,,,,No
1993, Mora or Syllable? Speech Segmentation in Japanese,"Otake, T., Hatano, G., Cutler, A., & Mehler, J. (1993)",2,,,,,,,,No
1993, Mora or Syllable? Speech Segmentation in Japanese,"Otake, T., Hatano, G., Cutler, A., & Mehler, J. (1993)",3,,,,,,,,No
1993, Mora or Syllable? Speech Segmentation in Japanese,"Otake, T., Hatano, G., Cutler, A., & Mehler, J. (1993)",4,,,,,,,,No
1993, Attentional Allocation within the Syllabic Structure of Spoken Words,"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",1,French,French,"Does the syllablic structure affect the results of attentional allocation paradigm? 
Can results be obtained with less trials than Pitt and Samuel (1990)?",Monitoring,"Attentional Allocation Monitoring for phoneme target which was in the Coda of first syllable or Onset of second syllable and always 3 or 4 phoneme (CVC-CV, CV-CCV, CCVC-CV, CCV-CCV) where targets were obstruents or liquids.  ",1. Interaction between Induction Group (Onset or Coda) and Syllablic Position. The results indicate that participants are aware of syllable position and not phoneme serial position. ,Segmentation,Yes
1993, Attentional Allocation within the Syllabic Structure of Spoken Words,"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",2,Spanish,Spanish,"Does the syllablic structure affect the results of attentional allocation paradigm? 
Spanish syllabic effects were bypassed in other monitoring experiments or hidden by lack of catch trials, speed of response or using lexical information, are these replicable in the attentional monitoring paradigm?",Monitoring,Attentional Allocation Monitoring for phoneme target that followed the same procedure in Spanish as Experiment 1 did in French. Trisyllablic words were used to balance stress placement and nasals added to obtain enough stimuli.,"1. Participants can focus attention on syllabic position regardless of the serial position.
2. 3rd serial position facilitated over 4th serial position (support Pitt and Samuel (1990))
3. Spanish differs from French in that they identify targets in onset faster and more accurately.
4. Stress had no effect on RTs.",Segmentation,Yes
1993, Attentional Allocation within the Syllabic Structure of Spoken Words,"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",3,French,French,Are effects of Experiment 1 truly prelexical?,Monitoring,"Same material as Experiment 1 and only procedure change told participants to respond as soon as they heard target, Don't wait until end of the word to respond and catch trials had no response.","1. Subjects in French showed attention to syllabic structure position rather than serial position.
2. RTs decreased by 150 ms, but this did not cause false alarms or miss rates to increase.",Segmentation,Yes
1993, Attentional Allocation within the Syllabic Structure of Spoken Words,"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",4,Spanish,Spanish,Are effects of Experiment 1 truly prelexical?,Monitoring,"Same material as Experiment 2 and only procedure change told participants to respond as soon as they heard target, Don't wait until end of the word to respond and catch trials had no response.","1. Onset group made more errors than Coda group.
2. Onset group responded faster to onset than for codas, but Coda group did not respond faster to onsets or codas.
3. Effect of serial position found in Experiment 2, was not replicated in current experiment for Spanish. (Experiment 2 serial position effect may have actually been a masked lexical effect)",Segmentation,Yes
1993, Attentional Allocation within the Syllabic Structure of Spoken Words,"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)",5,Spanish,Spanish,Are effects of Experiment 1 truly prelexical?,Monitoring,Same procedure as Experiment 4 with pseudowords following Spanish phonotactic constraints where are words became a nonword by the 4th phoneme and stress was counterbalanced.,"1. Interaction between Induction Group (Onset or Coda) and Syllablic Position. The results indicate that participants are aware of syllable position and not phoneme serial position where lexical effects cannot play a role. 
2. Effects of serial position (experiment 2) and syllabic position (experiments 2 and 4) were likely due to experimental stimuli. ",Segmentation,Yes
1996, Speeded detection of vowels: a cross-linguistic study,"Cutler, A., van Ooijen, B., Norris, D., & Sánchez-Casas, R. (1996)",1,,,,,,,,Yes
1996, Speeded detection of vowels: a cross-linguistic study,"Cutler, A., van Ooijen, B., Norris, D., & Sánchez-Casas, R. (1996)",2,,,,,,,,Yes
1996, Speeded detection of vowels: a cross-linguistic study,"Cutler, A., van Ooijen, B., Norris, D., & Sánchez-Casas, R. (1996)",3,,,,,,,,Yes
1996, Speeded detection of vowels: a cross-linguistic study,"Cutler, A., van Ooijen, B., Norris, D., & Sánchez-Casas, R. (1996)",4,,,,,,,,Yes
1998, Segmentation of Continuous Speech Using Phonotactics,"McQueen, J. M. (1998)",1,,,,,,,,Yes
1998, Segmentation of Continuous Speech Using Phonotactics,"McQueen, J. M. (1998)",2,,,,,,,,Yes
1998, Segmentation of Continuous Speech Using Phonotactics,"McQueen, J. M. (1998)",3,,,,,,,,Yes
2000, Syllables in the processing of spoken Italian,"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",1,Italian,Italian,Can Sebastián-Gallés et al. (1992) monitoring task in stressed and unstressed initial syllables be replicated in Italian?,Monitoring,Monitoring for CV or CVC targets with second condition being stressed or unstressed initial syllable.,"1. RTs faster when initial syllable of carrier item was stressed.
2. CV targets detected faster when initial syllable of carrier item was stressed. CVC targets did not have same advantage.
3. Potential confound of repetition priming and statistical power.",,Yes
2000, Syllables in the processing of spoken Italian,"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",2,Italian,Italian,Replicate findings of Experiment 1 with more statistical power (additional items) and no repetition priming possibility for subjects (see each target 1 time only).,Monitoring,Monitoring for CV or CVC targets with second condition being stressed or unstressed initial syllable.,"1. RTs faster when initial syllable of carrier item was stressed.
2. RTs similar to Sebastián-Gallés et al. (1992), but much slower than Bradley et al. (1993).",,Yes
2000, Syllables in the processing of spoken Italian,"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",3,Italian,Italian,Are Italian listeners sensitive to syllabic structure or serial position of phonemes?,Monitoring,"Phoneme monitoring with 4 independent variables: Induction group (coda or onset), syllabic (coda or onset), serial position (3rd or 4th phoneme) and  word stress (stressed or unstressed).","1. Induction group found target phoneme faster when it occurred in the induction group participant was assigned.
2. Onset induction group found targets faster when initial syllable was stressed.
3. Faster phoneme detection when it occurred in expected serial position.
4. Italian listeners, like Spanish listeners, show syllabic effects in attentional monitoring task, but not in segment monitoring task.",,Yes
2000, Syllables in the processing of spoken Italian,"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",4,Italian,Italian,Is lexical information causing the syllabic effect to surface?,Monitoring,"Follows the same phoneme monitoring procedure in experiment 3, but with psuedowords that follow all Italian phonotactic constraints.","1. Higher error rate when initial syllable is stressed.
2. Results show interaction between induction group and syllabic position suggesting the effects found in experiment 3 are prelexical effects.",,Yes
2000, Syllables in the processing of spoken Italian,"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)",5,Italian,Italian,Does the syllable play a role in lexical access in Italian?,Cross-modal Priming,Participants hear a word fragment (extracted from syllable initial unstressed word) and then immediately perform a lexical decision task on a visually presented word.,"1. Related condition responded to faster than Unrelated and Control conditions. (Fragments in related condition activated semantically related visual targets).
2. Unrelated and Control conditions did not differ.
3. Syllables play an important role in lexical access in Italian.",,Yes
2001, The roll of the silly ball,"Cutler, A., McQueen, J. M., Norris, D., & Somejuan, A. (2001)",0,Various,Various,What role does the syllable play?,Review,NA,"1. Mehler strong account of syllable not feasible.
2. English and Dutch provide evidence that syllable is not universal monitoring unit.
3. Continuous uptake at lexical level rules out strongest form of syllable model.
4. More support for lexical competition, the fact speech is not lacking segmentation cues altogether and possible word constraint is viable.
5. Syllable useful in French segmentation (syllable-timed, not in Dutch or English (stressed-timed) nor in Japanese (more-timed).",,No
2001, Segmental and Suprasegmental Mismatch in Lexical Access,"Soto-Faraco, S., Sebastián-Gallés, N., & Cutler, A. (2001)",1,Spanish,Spanish,What constaints in lexical activation are due to  suprasegmental information?,Cross-modal Priming,"Word onset fragments (initial 2 syllables) presented auditorily, followed by the visual target appeared and lexical decision task was completed. The stress placement in the prime–TARGET could match or mismatch in stress pattern while all phonemes matched. The control condition included stress (matched-mismatched) and phoneme mismatched prime(monosyllabic)–TARGET trials.","1. RTs faster for matching primes than control primes.
2. RTs were slowed down when phonemes aligned, but stress pattern misaligned.
3. Evidence of Spanish listeners using lexical stress information to access lexicon",Lexical Access,Yes
2001, Segmental and Suprasegmental Mismatch in Lexical Access,"Soto-Faraco, S., Sebastián-Gallés, N., & Cutler, A. (2001)",2,Spanish,Spanish,Can inhibition following initial activation be found when segmental mismatches occur?,Cross-modal Priming,"Word onset fragments (initial 2 syllables) presented auditorily, followed by the visual target appeared and lexical decision task was completed. The vowel in the prime–TARGET could match or mismatch while all stress assignment matched. The control condition included phoneme mismatched prime(monosyllabic)–TARGET trials.","1. RTs faster for matching primes than control primes.
2. RTs were slowed down when stress aligned, but phonemes misaligned.
3. Evidence of Spanish listeners using lexical stress information and segmentatal information in constraining lexical activation.",Lexical Access,Yes
2001, Segmental and Suprasegmental Mismatch in Lexical Access,"Soto-Faraco, S., Sebastián-Gallés, N., & Cutler, A. (2001)",3,Spanish,Spanish,Does the degree of mismatch reflect the magnitude of lexical inhibition?,Cross-modal Priming,"Word onset fragments (initial 2 syllables) presented auditorily, followed by the visual target appeared and lexical decision task was completed. The vowels and stress patterns were matched in all pairs. The two conditions included: C mismatch by 1 distinctive feature or by 3 distinctive features. Control condition stress aligned but Vowels did not from onset of word.","1. RTs faster for matching primes than control primes in both distance conditions.
2. RTs were slowed down for mismatching primes than control primes in both distance conditions.
3. Difference in distance of difference not a factor in activation and competition processes. (a small misalignment is just as powerful as a big misalignment)",Lexical Access,Yes
2002, Masked Priming Effects with Syllabic Neighbors in a Lexical Decision Task,"Carreiras, M., & Perea, M. (2002)",1,Spanish,Spanish,Do inhibition effects appear for low-frequency targets when they share the initial syllable with a high-frequency prime?,Visual Word Recognition,A masked priming experiment where primes–targets were 4 letters long generally following CV-CV strucutre. Press yes or no in a lexical decision on visually presented word.,"1. Targets that were preceded by syllabic neighbors averaged 13 ms inhibition effect.
2. High-frequency words inhibit processing of low-frequency syllabic neighbors.",Lexical Access,Yes
2002, Masked Priming Effects with Syllabic Neighbors in a Lexical Decision Task,"Carreiras, M., & Perea, M. (2002)",2,Spanish,Spanish,Do facilitative effects appear for low-frequency targets when they share the initial syllable with a nonword prime?,Visual Word Recognition,A masked priming experiment where primes–targets were 4 letters long generally following CV-CV strucutre. Press yes or no in a lexical decision on visually presented word. All primes in this experiment were nonwords.,"1. Targets that were preceded by syllabic neighbors averaged 16 ms facilitation effect.
2. High-frequency words inhibit processing of low-frequency syllabic neighbors.
3. The results flipped between inhibition in Ex1 to facilitation in Ex2, but could be related overlapping first 2 graphemes.",Lexical Access,Yes
2002, Masked Priming Effects with Syllabic Neighbors in a Lexical Decision Task,"Carreiras, M., & Perea, M. (2002)",3,Spanish,Spanish,When primes–targets share first 2 phonemes are reaction times facilitated?,Visual Word Recognition,"Procedure the same as experiments 1 and 2, but monosyllabic versus disyllabic prime and targets added.","1. Disyllabic words responded to faster than monosyllabic words.
2. Interaction between relatedness and syllable structure driven by facilitative effect for disyllabic words.
3. Error data showed significant effect for syllabic structure.
4. Consisentwith results of Experiment 2 (facilitative effect possible with syllabic neighbors in a high density neighborhood given only 2 of 4 letters.",Lexical Access,Yes
2002, Masked Priming Effects with Syllabic Neighbors in a Lexical Decision Task,"Carreiras, M., & Perea, M. (2002)",4,Spanish,Spanish,When prime–targets share first syllable structure are reaction times facilitated?,Visual Word Recognition,A masked priming experiment where primes–targets were 6 letters long generally following CV-CV-CV or CVC-CVC strucutre. Press yes or no in a lexical decision on visually presented word.,"1. Significant interaction between target type and prime type. CVC facilitated CVC-CVC words and CV facilitated CV-CV-CV words ""Syllable Congruency Effect""
2. Results from current data cannot distinguish between phonological syllable and orthographic syllable effects.",Lexical Access,Yes
2002, Rhythmic Categories in Spoken-Word Recognition,"Cutler, A., & Otake, T. (2002)",0,Japanese,Japanese,What is the status of the mora for Japanese listeners?,Corpus Analysis,"Using data from Japanese puns and a formal language game that requires mora substitution, they ask ""Is the subtitution of phonemes above chance in a place that mora subtitution is expected?""","1. Puns perserve part of mora above the level of chance.
2. Phonemes appear to be much less accessible for Japanese speakers.",,Yes
2002, Rhythmic Categories in Spoken-Word Recognition,"Cutler, A., & Otake, T. (2002)",1,Japanese,Japanese,Is it worse to leave partially intact mora or delete the mora entirely?,Word Reconstruction,"Subjects indicate when they have heard a mispronunciation of a real word (a neighbor of a nonword that differs in initial CV mora) in the nonword strings, then produce the word they have identified.","1. Faster Rts and less errors when partial mora left intact than when deleted mora entirely.
2. 4 mora words had faster RTs and less errors than 3 mora words.
3. Partial mora information is beneficial to listeners.",,Yes
2002, Rhythmic Categories in Spoken-Word Recognition,"Cutler, A., & Otake, T. (2002)",2,Japanese,Japanese,Is it worse to leave partially intact mora or delete the mora entirely?,Word Reconstruction,"Subjects indicate when they have heard a mispronunciation of a real word (a neighbor of a nonword that differs in final CV mora) in the nonword strings, then produce the word they have identified.","1. Faster RTs and less errors when partial mora left intact than when deleted mora entirely.
2. V replacement only faster RTs and less errors than C only replacement which was faster and less error prone than CV replacement. (All three conditions significantly different from one another).
3. 4 mora words had faster RTs and less errors than 3 mora words.
4. Speech processing uptake is continuous, not mora by mora.
",,Yes
2002, Rhythmic Categories in Spoken-Word Recognition,"Cutler, A., & Otake, T. (2002)",3,Japanese,Japanese,Is it worse to leave partially intact mora or delete the mora entirely?,Word Reconstruction,"Subjects indicate when they have heard a mispronunciation of a real word (a neighbor of a nonword that differs in medial CV mora) in the nonword strings, then produce the word they have identified.","1. As expected the RTs reflect the much more difficult task since it left an intact mora structure on both sides of the distorted one to be reconstructed.
2. V replacement only faster RTs than C only replacement which was faster and less error prone than CV replacement. 
3. Confirms partial mora information is beneficial.
4. Better V condition performance cannot be explained because equal amounts of intact material are present on either side of distortion.",,Yes
2002, Rhythmic Categories in Spoken-Word Recognition,"Cutler, A., & Otake, T. (2002)",4,Japanese,Japanese,Is it worse to leave partially intact mora or delete the mora entirely?,Word Reconstruction,"Subjects indicate when they have heard a mispronunciation of a real word (a neighbor of a nonword that differs in medial CV mora: 2nd mora or 3rd mora in 4 mora words) in the nonword strings, then produce the word they have identified. Different conditions were presented as different blocks with their own instructions and counterbalanced across groups of participants.","1. V replacement only and C only replacement conditions were faster and less error prone than CV replacement. 
2. Error rates significantly affected by order of presentation with participants switching from 2nd mora to 3rd mora substitutions between blocks making more errors.
3. Confirms partial mora information is beneficial.
4. The difference in V and C only conditions may simply reflect a difference between Vowel and Consonants like that found in English, Dutch and Spanish (Cutler et al., 2000; Van Ooijen, 1996).",,Yes
2002, Rhythmic Categories in Spoken-Word Recognition,"Cutler, A., & Otake, T. (2002)",5,Japanese,Japanese,Are Uniqueness Points and Nonword Uniqueness Points a factor in lexical effects?,Lexical Decision,Subjects presented with lists of words and nonwords (differing at different onset points from real Japanes words). Press 'Y' for Real Word and 'N' for Nonword.,"1. The earlier the item became a nonword, the faster it was rejected.
2. Collinearity effects of Druation and Phonemes, but not Morae.
3. Word retrieval is affected by continuous uptake. Submoraic information is not dependent on complete mora identification.
4. All experiments do not support the mora being an early structural unit in Japanese spoken word recognition. (Relevant to speech segmentation, but initial lexical access.)",,Yes
2004, Are syllables phonological units in visual word recognition?,"Álvarez, C., Carreiras, M., & Perea, M. (2004)",1,Spanish,Spanish,Can segmental overlap be distinguished from syllabic overlap with masked priming?,Visual Word Recognition,"Masked priming experiment with nonword primes that shared first 3 phonemes of the visual targe (Disyllabic) for lexical decision, but only half the primes matched target syllable structure.","1. CV primes facilitated faster RTs than CVC primes
2. CV primes facilitated CV targets (larger when shared syllable structure than not), but CVC primes neither facilitated or inhibited CVC targets (This CVC effect was not expected).
3. CVC targets had more error rates than CV targets.",Lexical Access,Yes
2004, Are syllables phonological units in visual word recognition?,"Álvarez, C., Carreiras, M., & Perea, M. (2004)",2,Spanish,Spanish,Is there a difference in priming effects for Phonological versus Orthographic syllables?,Visual Word Recognition,"Masked priming experiment with nonword primes that shared first 3 letters (Phonological + Orthographic) versus first 3 phonemes (phonological) when syllable structure of the visual target matched (Disyllabic) for lexical decision. Control primes did not match target syllable structure, but still shared same three phonemes.","1. Orthographic +  phonological  primes faster RTs than phonological only primes.
2. Orthographic  + phonological primes produced more errors than phonological only primes.
3. CV primes again responded to faster than CVC primes.
4. No prime type–target type interaction found.
5. Syllabic effect appears to be phonological in nature since it similar results occur for both test conditions. However, orthographic overlap appears to give additional support in visual word recognition paradigm.",Lexical Access,Yes
2004, Are syllables phonological units in visual word recognition?,"Álvarez, C., Carreiras, M., & Perea, M. (2004)",3,Spanish,Spanish,Could the phonological results in Experiment 2 results from Rime only rather than entire phonological syllable?,Visual Word Recognition,"Masked priming experiment with nonword primes that shared first 3 letters (Phonological + Orthographic) versus first 3 phonemes (phonological) versus Rime only condition when syllable structure of the visual target matched (Disyllabic) for lexical decision. Control primes did not match target syllable structure, but still shared same three phonemes.","1. Targets that shared entire phonological syllable with prime had faster RTs than Rime only and control conditions, which did not differ from one another.
2. A rime only condition was supported in English (Forster & Taft, 1994; Grainger & Ferrand, 1996; Treiman & Chafetz, 1987)
3. Additional support for syllabic processing in Spanish",Lexical Access,Yes
2004, Naming pseudowords in Spanish: effects of syllable frequency,"Carreiras, M., & Perea, M. (2004)",1,Spanish,Spanish,Are syllable frequency effects limited to initial syllable in speech production?,Word Naming,Disyllabic pseudowords were presented on the screen and participants had to read aloud the pseudoword as quickly and accurately as possible.,"1. Frequency of 1st syllable gave 14 ms advantage to high-frequency first syllables.
2. Frequency effect not found for 2nd syllable.
3. bigram frequency ruled out, but stress could not be.",,Yes
2004, Naming pseudowords in Spanish: effects of syllable frequency,"Carreiras, M., & Perea, M. (2004)",2,Spanish,Spanish,Are syllable frequency effects limited to initial syllable in speech production?,Word Naming,Disyllabic pseudowords were presented on the screen and participants had to read aloud the pseudoword as quickly and accurately as possible. The only difference from Experiment 1 is that stress is always on 2nd syllable.,"1. Facilitation effect reduced to 9 ms and only significant in subjects analysis.
2. Pooled results of experiments 1 and 2 did not show interaction between lexical stress and syllable frequency.",,Yes
2004, Naming pseudowords in Spanish: effects of syllable frequency,"Carreiras, M., & Perea, M. (2004)",3,Spanish,Spanish,Can bigram frequency be responsible for facilitation effect instead of syllable frequency?,Word Naming,"Disyllabic pseudowords were presented on the screen and participants had to read aloud the pseudoword as quickly and accurately as possible. The initial bigram always matched, but the initial CVC structure was either high or low frequency.","1, Syllables are important units of speech production in Spanish.
2. high-frequency syllables had 10 ms advantage over low-frequency syllables when initial bigram was controlled for.",,Yes
2005, Early event-related potential effects of syllabic processing during visual word recognition,"Carreiras, M., Vergara, M., & Barber, H. (2005)",1,Spanish,Spanish,Are syllabic effects found for low-frequency words?,Visual Word Recognition,Stimuli for lexical decision task presented in different colors (Red and Green) where colors matched syllable structure or not. A control condition presented the word in one color.,"1. Lexical effects observed - words responded to faster and with less errors than nonwords.
2. Lexical effects not found in first 300 ms, but centralized to 350-500 ms window. (Pseudowords begin to show inhibition.
3. P200 not different between conditions.
4. N400 showed effects of lexicality and congruency, but not an interaction between the two. However after normalization only lexicality main effect and interaction for pseudoword showing inhibition remained.",,No
2005, Early event-related potential effects of syllabic processing during visual word recognition,"Carreiras, M., Vergara, M., & Barber, H. (2005)",2,Spanish,Spanish,Are syllabic effects found for high-frequency words?,Visual Word Recognition,Stimuli for lexical decision task presented in different colors (Red and Green) where colors matched syllable structure or not. A control condition presented the word in one color was not used in experiment 2 as in experiment 1.,"1. Pseudowords responded to slower than words.
2. Pseudowords responded to slower in congruent condition than incongruent one (Effects of syllable without lexical knowledge)
3. High-frequency words responded to faster than low-frequency words.
4. High-frequency effects do not mimic low-frequency effects.
5. No lexicality or congruency effects in P200 window. (low-frequency and pseudoword use syllabic segmentation; method may not be able to capture syllabic effects for high-frequency words because of direct access to lexicon (masked effect))
6. N400 window suggests lexicality effects (pseudowords more negative than words) and congruency effects (Congruent condition more negative than incongruent).
7. N400 suggests low-frequency words are more negative than high-frequency words.
8. Syllables are processing unit in Visual Word Recognition; Syllables may be a sublexical unit that is different than the lexical representations used for word recognition.",,No
2005, Vowel perception: Effects of non-native language vs non-native dialect,"Cutler, A., Smits, R., & Cooper, N. (2005)",1,,,,,,,,No
