X1,lextaleRespEsp,lextaleRespEspCorr,lextaleRespEspRT,lex_pres_order,word,translation,corrAnsEspV,age,gender,birthCountry,raisedCountry,placeResidence,education,houseLanguage,preferLanguage,partNum,date,expName,OS,session,Order,corrAns
50,z,1,0.782975,48,ladrón,thief,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
51,z,1,0.7320949999999999,49,ganar,win,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
52,m,1,10.16196,50,flamida,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
53,z,1,1.141735,51,candado,padlock,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
54,z,1,0.9285,52,camisa,shirt,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
55,z,0,13.08921,53,vegada,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
56,z,1,1.055785,54,fomentar,promote,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
57,z,1,1.480155,55,nevar,snow,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
58,z,1,0.90436,56,musgo,moss,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
59,z,1,0.912755,57,tacaño,stingy,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
60,m,1,12.350245,58,plaudir,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
61,z,1,1.09053,59,besar,kiss,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
62,z,1,1.478685,60,matar,kill,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
63,z,1,0.951515,61,seda,silk,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
64,z,1,0.667575,62,flaco,skinny,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
65,m,1,23.642225,63,esposante,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
66,z,1,1.112765,64,orgulloso,proud,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
67,z,1,1.01852,65,bizcocho,cake,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
68,m,1,29.434615,66,hacido,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
69,z,1,2.47446,67,cabello,hair,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
70,z,1,0.6539,68,alegre,cheerful,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
71,z,1,1.275355,69,engatusar,cajole,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
72,z,0,1.17812,70,temblo,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
73,z,1,0.952475,71,polvoriento,dusty,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
74,m,1,13.3308,72,pemición,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
75,z,1,2.1044400000000003,73,hervidor,kettle,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
76,m,1,21.31532,74,cintro,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
77,z,1,1.91678,75,yacer,lie,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
78,z,1,2.96374,76,atar,tie,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
79,z,1,0.6647649999999999,77,tiburón,shark,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
80,z,1,0.647365,78,frondoso,leafy,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
81,m,1,19.34727,79,tropaje,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
82,z,1,1.25012,80,hormiga,ant,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
83,z,1,0.8094100000000001,81,pozo,well,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
84,m,1,14.02514,82,empirador,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
85,z,1,1.4464549999999998,83,guante,glove,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
86,m,1,22.60348,84,escuto,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
87,z,1,2.039975,85,laud,lute,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
88,z,1,0.951675,86,barato,cheap,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
89,m,1,1.47107,87,grodo,NW,m,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
90,z,1,1.6314799999999998,88,acantilado,cliff,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
91,z,1,0.94973,89,prisa,hurry,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
92,z,1,0.8593649999999999,90,clavel,carnation,z,45,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",ambos,español,5bdf91dbb32fa800012ea282,2020-07-10_14h04.20.124,lemma_segmentation,Win32,5f08bb28a811f410e1a8f19f,NA,NA
3,z,0,1.43996,1,terzo,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
4,z,1,1.058025,2,pellizcar,pinch,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
5,z,1,0.6468149999999999,3,pulmones,lungs,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
6,m,1,2.3187900000000004,4,batillón,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
7,z,1,1.688275,5,zapato,shoe,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
8,z,1,3.199195,6,tergiversar,distort,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
9,z,1,2.00062,7,pésimo,abysmal,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
10,m,1,2.7329950000000003,8,cadeña,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
11,z,1,3.867075,9,hacha,axe,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
12,m,1,1.573765,10,antar,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
13,m,0,1.6524599999999998,11,cenefa,edging,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
14,z,1,0.699405,12,asesinato,murder,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
15,z,1,1.397715,13,helar,freeze,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
16,z,1,1.471245,14,yunque,anvil,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
17,z,1,0.75054,15,regar,water,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
18,m,1,1.73291,16,abracer,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
19,m,1,1.86094,17,floroso,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
20,m,1,1.00083,18,arsa,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
21,z,0,2.98379,19,brecedad,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
22,z,1,0.732255,20,ávido,avid,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
23,z,0,1.1671049999999998,21,capillo,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
24,z,1,0.80972,22,lacayo,lackey,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
25,z,0,1.15852,23,lampera,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
26,z,1,0.744055,24,látigo,whip,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
27,z,1,1.051625,25,bisagra,hinge,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
28,z,1,1.01678,26,secuestro,kidnapping,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
29,z,0,1.30955,27,acutación,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
30,z,1,1.177465,28,merodear,prowl,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
31,m,1,0.966175,29,decar,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
32,m,1,1.756455,30,alardio,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
33,z,1,0.832285,31,pandilla,gang,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
34,z,0,1.01934,32,fatacidad,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
35,m,1,1.75152,33,pauca,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
36,z,1,0.7339600000000001,34,aviso,notice,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
37,m,1,2.106415,35,rompido,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
38,m,0,0.7946300000000001,36,loro,parrot,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
39,z,1,3.616585,37,granuja,rascal,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
40,z,1,0.64449,38,estornudar,sneeze,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
41,z,1,0.568275,39,torpe,clumsy,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
42,z,1,0.699545,40,alfombra,carpet,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
43,z,1,1.06286,41,rebuscar,rummage,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
44,m,1,0.92117,42,cadallo,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
45,z,1,0.7875449999999999,43,canela,cinnamon,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
46,z,1,1.132695,44,cuchara,spoon,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
47,z,1,1.14995,45,jilguero,goldfinch,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
48,z,1,0.6099399999999999,46,martillo,hammer,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
49,z,0,0.6743899999999999,47,cartinar,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
50,z,1,0.55232,48,ladrón,thief,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
51,z,1,0.602735,49,ganar,win,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
52,m,1,0.922895,50,flamida,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
53,z,1,0.710065,51,candado,padlock,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
54,z,1,0.935105,52,camisa,shirt,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
55,m,1,0.957655,53,vegada,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
56,z,1,0.95657,54,fomentar,promote,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
57,z,1,0.72111,55,nevar,snow,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
58,z,1,1.1008950000000002,56,musgo,moss,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
59,z,1,0.83509,57,tacaño,stingy,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
60,m,1,1.6678400000000002,58,plaudir,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
61,z,1,0.66899,59,besar,kiss,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
62,z,1,0.586125,60,matar,kill,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
63,z,1,0.805685,61,seda,silk,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
64,z,1,0.642955,62,flaco,skinny,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
65,m,1,1.04631,63,esposante,NW,m,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
66,z,1,0.8351200000000001,64,orgulloso,proud,z,23,Hombre,México,México,México,"Universidad (diplomatura, licenciatura)",español,español,5c2e48a2867f660001afd5f1,2020-07-10_14h27.24.357,lemma_segmentation,Win32,5f08cd259ccc301380a3c40f,NA,NA
